Country or Area,Year,Reference Date,Area,Sex,Age,Marital status,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2012,1-Jul-12,Total,Male,25 - 29,Single (never married),Estimate - de jure,"Final figure, complete",2014,7174288,1
United States of America,2012,1-Jul-12,Total,Male,25 - 29,Married,Estimate - de jure,"Final figure, complete",2014,3096929,1
United States of America,2012,1-Jul-12,Total,Male,25 - 29,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,8794,1
United States of America,2012,1-Jul-12,Total,Male,25 - 29,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,338066,1
United States of America,2012,1-Jul-12,Total,Male,25 - 29,Married but separated,Estimate - de jure,"Final figure, complete",2014,142548,1
United States of America,2012,1-Jul-12,Total,Male,30 - 34,Total,Estimate - de jure,"Final figure, complete",2014,10451315,1
United States of America,2012,1-Jul-12,Total,Male,30 - 34,Single (never married),Estimate - de jure,"Final figure, complete",2014,4409043,1
United States of America,2012,1-Jul-12,Total,Male,30 - 34,Married,Estimate - de jure,"Final figure, complete",2014,5094266,1
United States of America,2012,1-Jul-12,Total,Male,30 - 34,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,19249,1
United States of America,2012,1-Jul-12,Total,Male,30 - 34,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,700581,1
United States of America,2012,1-Jul-12,Total,Male,30 - 34,Married but separated,Estimate - de jure,"Final figure, complete",2014,228176,1
United States of America,2012,1-Jul-12,Total,Male,35 - 39,Total,Estimate - de jure,"Final figure, complete",2014,9761486,1
United States of America,2012,1-Jul-12,Total,Male,35 - 39,Single (never married),Estimate - de jure,"Final figure, complete",2014,2708406,1
United States of America,2012,1-Jul-12,Total,Male,35 - 39,Married,Estimate - de jure,"Final figure, complete",2014,5781905,1
United States of America,2012,1-Jul-12,Total,Male,35 - 39,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,26754,1
United States of America,2012,1-Jul-12,Total,Male,35 - 39,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,984560,1
United States of America,2012,1-Jul-12,Total,Male,35 - 39,Married but separated,Estimate - de jure,"Final figure, complete",2014,259861,1
United States of America,2012,1-Jul-12,Total,Male,40 - 44,Total,Estimate - de jure,"Final figure, complete",2014,10506617,1
United States of America,2012,1-Jul-12,Total,Male,40 - 44,Single (never married),Estimate - de jure,"Final figure, complete",2014,2203919,1
United States of America,2012,1-Jul-12,Total,Male,40 - 44,Married,Estimate - de jure,"Final figure, complete",2014,6582721,1
United States of America,2012,1-Jul-12,Total,Male,40 - 44,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,45601,1
United States of America,2012,1-Jul-12,Total,Male,40 - 44,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1361047,1
United States of America,2012,1-Jul-12,Total,Male,40 - 44,Married but separated,Estimate - de jure,"Final figure, complete",2014,313329,1
United States of America,2012,1-Jul-12,Total,Male,45 - 49,Total,Estimate - de jure,"Final figure, complete",2014,10710557,1
United States of America,2012,1-Jul-12,Total,Male,45 - 49,Single (never married),Estimate - de jure,"Final figure, complete",2014,1891546,1
United States of America,2012,1-Jul-12,Total,Male,45 - 49,Married,Estimate - de jure,"Final figure, complete",2014,6753522,1
United States of America,2012,1-Jul-12,Total,Male,45 - 49,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,83892,1
United States of America,2012,1-Jul-12,Total,Male,45 - 49,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1665409,1
United States of America,2012,1-Jul-12,Total,Male,45 - 49,Married but separated,Estimate - de jure,"Final figure, complete",2014,316188,1
United States of America,2012,1-Jul-12,Total,Male,50 - 54,Total,Estimate - de jure,"Final figure, complete",2014,11051752,1
United States of America,2012,1-Jul-12,Total,Male,50 - 54,Single (never married),Estimate - de jure,"Final figure, complete",2014,1649884,1
United States of America,2012,1-Jul-12,Total,Male,50 - 54,Married,Estimate - de jure,"Final figure, complete",2014,7068929,1
United States of America,2012,1-Jul-12,Total,Male,50 - 54,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,140765,1
United States of America,2012,1-Jul-12,Total,Male,50 - 54,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1879505,1
United States of America,2012,1-Jul-12,Total,Male,50 - 54,Married but separated,Estimate - de jure,"Final figure, complete",2014,312669,1
United States of America,2012,1-Jul-12,Total,Male,55 - 59,Total,Estimate - de jure,"Final figure, complete",2014,9973838,1
United States of America,2012,1-Jul-12,Total,Male,55 - 59,Single (never married),Estimate - de jure,"Final figure, complete",2014,1176628,1
United States of America,2012,1-Jul-12,Total,Male,55 - 59,Married,Estimate - de jure,"Final figure, complete",2014,6646962,1
United States of America,2012,1-Jul-12,Total,Male,55 - 59,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,210776,1
United States of America,2012,1-Jul-12,Total,Male,55 - 59,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1703174,1
United States of America,2012,1-Jul-12,Total,Male,55 - 59,Married but separated,Estimate - de jure,"Final figure, complete",2014,236298,1
United States of America,2012,1-Jul-12,Total,Male,60 - 64,Total,Estimate - de jure,"Final figure, complete",2014,8608249,1
United States of America,2012,1-Jul-12,Total,Male,60 - 64,Single (never married),Estimate - de jure,"Final figure, complete",2014,741325,1
United States of America,2012,1-Jul-12,Total,Male,60 - 64,Married,Estimate - de jure,"Final figure, complete",2014,6052406,1
United States of America,2012,1-Jul-12,Total,Male,60 - 64,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,260114,1
United States of America,2012,1-Jul-12,Total,Male,60 - 64,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1373692,1
United States of America,2012,1-Jul-12,Total,Male,60 - 64,Married but separated,Estimate - de jure,"Final figure, complete",2014,180712,1
United States of America,2012,1-Jul-12,Total,Male,65 - 74,Total,Estimate - de jure,"Final figure, complete",2014,11212220,1
United States of America,2012,1-Jul-12,Total,Male,65 - 74,Single (never married),Estimate - de jure,"Final figure, complete",2014,607613,1
United States of America,2012,1-Jul-12,Total,Male,65 - 74,Married,Estimate - de jure,"Final figure, complete",2014,8239398,1
United States of America,2012,1-Jul-12,Total,Male,65 - 74,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,728704,1
United States of America,2012,1-Jul-12,Total,Male,65 - 74,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1461442,1
United States of America,2012,1-Jul-12,Total,Male,65 - 74,Married but separated,Estimate - de jure,"Final figure, complete",2014,175063,1
United States of America,2012,1-Jul-12,Total,Male,75 - 84,Total,Estimate - de jure,"Final figure, complete",2014,5643653,1
United States of America,2012,1-Jul-12,Total,Male,75 - 84,Single (never married),Estimate - de jure,"Final figure, complete",2014,221919,1
United States of America,2012,1-Jul-12,Total,Male,75 - 84,Married,Estimate - de jure,"Final figure, complete",2014,3997748,1
United States of America,2012,1-Jul-12,Total,Male,75 - 84,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,894637,1
United States of America,2012,1-Jul-12,Total,Male,75 - 84,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,465340,1
United States of America,2012,1-Jul-12,Total,Male,75 - 84,Married but separated,Estimate - de jure,"Final figure, complete",2014,64009,1
United States of America,2012,1-Jul-12,Total,Male,85 +,Total,Estimate - de jure,"Final figure, complete",2014,1949390,1
United States of America,2012,1-Jul-12,Total,Male,85 +,Single (never married),Estimate - de jure,"Final figure, complete",2014,82817,1
United States of America,2012,1-Jul-12,Total,Male,85 +,Married,Estimate - de jure,"Final figure, complete",2014,1050822,1
United States of America,2012,1-Jul-12,Total,Male,85 +,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,703297,1
United States of America,2012,1-Jul-12,Total,Male,85 +,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,98430,1
United States of America,2012,1-Jul-12,Total,Male,85 +,Married but separated,Estimate - de jure,"Final figure, complete",2014,14024,1
United States of America,2012,1-Jul-12,Total,Female,Total,Total,Estimate - de jure,"Final figure, complete",2014,129570612,1
United States of America,2012,1-Jul-12,Total,Female,Total,Single (never married),Estimate - de jure,"Final figure, complete",2014,38367449,1
United States of America,2012,1-Jul-12,Total,Female,Total,Married,Estimate - de jure,"Final figure, complete",2014,60019246,1
United States of America,2012,1-Jul-12,Total,Female,Total,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,11865679,1
United States of America,2012,1-Jul-12,Total,Female,Total,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,16032550,1
United States of America,2012,1-Jul-12,Total,Female,Total,Married but separated,Estimate - de jure,"Final figure, complete",2014,3285688,1
United States of America,2012,1-Jul-12,Total,Female,15 - 17,Total,Estimate - de jure,"Final figure, complete",2014,6108756,1
United States of America,2012,1-Jul-12,Total,Female,15 - 17,Single (never married),Estimate - de jure,"Final figure, complete",2014,6074739,1
United States of America,2012,1-Jul-12,Total,Female,15 - 17,Married,Estimate - de jure,"Final figure, complete",2014,27037,1
United States of America,2012,1-Jul-12,Total,Female,15 - 17,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,1109,1
United States of America,2012,1-Jul-12,Total,Female,15 - 17,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1555,1
United States of America,2012,1-Jul-12,Total,Female,15 - 17,Married but separated,Estimate - de jure,"Final figure, complete",2014,4316,1
United States of America,2012,1-Jul-12,Total,Female,18 - 19,Total,Estimate - de jure,"Final figure, complete",2014,4395661,1
United States of America,2012,1-Jul-12,Total,Female,18 - 19,Single (never married),Estimate - de jure,"Final figure, complete",2014,4273829,1
United States of America,2012,1-Jul-12,Total,Female,18 - 19,Married,Estimate - de jure,"Final figure, complete",2014,111600,1
United States of America,2012,1-Jul-12,Total,Female,18 - 19,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,1384,1
United States of America,2012,1-Jul-12,Total,Female,18 - 19,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,4109,1
United States of America,2012,1-Jul-12,Total,Female,18 - 19,Married but separated,Estimate - de jure,"Final figure, complete",2014,4739,1
United States of America,2012,1-Jul-12,Total,Female,20 - 24,Total,Estimate - de jure,"Final figure, complete",2014,10964399,1
United States of America,2012,1-Jul-12,Total,Female,20 - 24,Single (never married),Estimate - de jure,"Final figure, complete",2014,9264300,1
United States of America,2012,1-Jul-12,Total,Female,20 - 24,Married,Estimate - de jure,"Final figure, complete",2014,1459045,1
United States of America,2012,1-Jul-12,Total,Female,20 - 24,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,7707,1
United States of America,2012,1-Jul-12,Total,Female,20 - 24,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,125849,1
United States of America,2012,1-Jul-12,Total,Female,20 - 24,Married but separated,Estimate - de jure,"Final figure, complete",2014,107498,1
United States of America,2012,1-Jul-12,Total,Female,25 - 29,Total,Estimate - de jure,"Final figure, complete",2014,10487164,1
United States of America,2012,1-Jul-12,Total,Female,25 - 29,Single (never married),Estimate - de jure,"Final figure, complete",2014,5769716,1
United States of America,2012,1-Jul-12,Total,Female,25 - 29,Married,Estimate - de jure,"Final figure, complete",2014,3949247,1
United States of America,2012,1-Jul-12,Total,Female,25 - 29,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,23411,1
United States of America,2012,1-Jul-12,Total,Female,25 - 29,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,493355,1
United States of America,2012,1-Jul-12,Total,Female,25 - 29,Married but separated,Estimate - de jure,"Final figure, complete",2014,251435,1
United States of America,2012,1-Jul-12,Total,Female,30 - 34,Total,Estimate - de jure,"Final figure, complete",2014,10401742,1
United States of America,2012,1-Jul-12,Total,Female,30 - 34,Single (never married),Estimate - de jure,"Final figure, complete",2014,3447143,1
United States of America,2012,1-Jul-12,Total,Female,30 - 34,Married,Estimate - de jure,"Final figure, complete",2014,5629472,1
United States of America,2012,1-Jul-12,Total,Female,30 - 34,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,42330,1
United States of America,2012,1-Jul-12,Total,Female,30 - 34,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,919164,1
United States of America,2012,1-Jul-12,Total,Female,30 - 34,Married but separated,Estimate - de jure,"Final figure, complete",2014,363633,1
United States of America,2012,1-Jul-12,Total,Female,35 - 39,Total,Estimate - de jure,"Final figure, complete",2014,9813118,1
United States of America,2012,1-Jul-12,Total,Female,35 - 39,Single (never married),Estimate - de jure,"Final figure, complete",2014,2105966,1
United States of America,2012,1-Jul-12,Total,Female,35 - 39,Married,Estimate - de jure,"Final figure, complete",2014,5979965,1
United States of America,2012,1-Jul-12,Total,Female,35 - 39,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,71421,1
United States of America,2012,1-Jul-12,Total,Female,35 - 39,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1246184,1
United States of America,2012,1-Jul-12,Total,Female,35 - 39,Married but separated,Estimate - de jure,"Final figure, complete",2014,409582,1
United States of America,2012,1-Jul-12,Total,Female,40 - 44,Total,Estimate - de jure,"Final figure, complete",2014,10616865,1
United States of America,2012,1-Jul-12,Total,Female,40 - 44,Single (never married),Estimate - de jure,"Final figure, complete",2014,1724317,1
United States of America,2012,1-Jul-12,Total,Female,40 - 44,Married,Estimate - de jure,"Final figure, complete",2014,6624686,1
United States of America,2012,1-Jul-12,Total,Female,40 - 44,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,127343,1
United States of America,2012,1-Jul-12,Total,Female,40 - 44,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1677869,1
United States of America,2012,1-Jul-12,Total,Female,40 - 44,Married but separated,Estimate - de jure,"Final figure, complete",2014,462650,1
United States of America,2012,1-Jul-12,Total,Female,45 - 49,Total,Estimate - de jure,"Final figure, complete",2014,10967611,1
United States of America,2012,1-Jul-12,Total,Female,45 - 49,Single (never married),Estimate - de jure,"Final figure, complete",2014,1447697,1
United States of America,2012,1-Jul-12,Total,Female,45 - 49,Married,Estimate - de jure,"Final figure, complete",2014,6782713,1
United States of America,2012,1-Jul-12,Total,Female,45 - 49,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,244089,1
United States of America,2012,1-Jul-12,Total,Female,45 - 49,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,2043650,1
United States of America,2012,1-Jul-12,Total,Female,45 - 49,Married but separated,Estimate - de jure,"Final figure, complete",2014,449462,1
United States of America,2012,1-Jul-12,Total,Female,50 - 54,Total,Estimate - de jure,"Final figure, complete",2014,11475032,1
United States of America,2012,1-Jul-12,Total,Female,50 - 54,Single (never married),Estimate - de jure,"Final figure, complete",2014,1342868,1
United States of America,2012,1-Jul-12,Total,Female,50 - 54,Married,Estimate - de jure,"Final figure, complete",2014,7031490,1
United States of America,2012,1-Jul-12,Total,Female,50 - 54,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,423777,1
United States of America,2012,1-Jul-12,Total,Female,50 - 54,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,2253555,1
United States of America,2012,1-Jul-12,Total,Female,50 - 54,Married but separated,Estimate - de jure,"Final figure, complete",2014,423342,1
United States of America,2012,1-Jul-12,Total,Female,55 - 59,Total,Estimate - de jure,"Final figure, complete",2014,10648369,1
United States of America,2012,1-Jul-12,Total,Female,55 - 59,Single (never married),Estimate - de jure,"Final figure, complete",2014,1017457,1
United States of America,2012,1-Jul-12,Total,Female,55 - 59,Married,Estimate - de jure,"Final figure, complete",2014,6498367,1
United States of America,2012,1-Jul-12,Total,Female,55 - 59,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,674873,1
United States of America,2012,1-Jul-12,Total,Female,55 - 59,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,2135132,1
United States of America,2012,1-Jul-12,Total,Female,55 - 59,Married but separated,Estimate - de jure,"Final figure, complete",2014,322540,1
United States of America,2012,1-Jul-12,Total,Female,60 - 64,Total,Estimate - de jure,"Final figure, complete",2014,9356681,1
United States of America,2012,1-Jul-12,Total,Female,60 - 64,Single (never married),Estimate - de jure,"Final figure, complete",2014,705817,1
United States of America,2012,1-Jul-12,Total,Female,60 - 64,Married,Estimate - de jure,"Final figure, complete",2014,5605529,1
United States of America,2012,1-Jul-12,Total,Female,60 - 64,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,946856,1
United States of America,2012,1-Jul-12,Total,Female,60 - 64,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,1883385,1
United States of America,2012,1-Jul-12,Total,Female,60 - 64,Married but separated,Estimate - de jure,"Final figure, complete",2014,215094,1
United States of America,2012,1-Jul-12,Total,Female,65 - 74,Total,Estimate - de jure,"Final figure, complete",2014,12792540,1
United States of America,2012,1-Jul-12,Total,Female,65 - 74,Single (never married),Estimate - de jure,"Final figure, complete",2014,676648,1
United States of America,2012,1-Jul-12,Total,Female,65 - 74,Married,Estimate - de jure,"Final figure, complete",2014,6945298,1
United States of America,2012,1-Jul-12,Total,Female,65 - 74,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,2792544,1
United States of America,2012,1-Jul-12,Total,Female,65 - 74,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,2182172,1
United States of America,2012,1-Jul-12,Total,Female,65 - 74,Married but separated,Estimate - de jure,"Final figure, complete",2014,195878,1
United States of America,2012,1-Jul-12,Total,Female,75 - 84,Total,Estimate - de jure,"Final figure, complete",2014,7658663,1
United States of America,2012,1-Jul-12,Total,Female,75 - 84,Single (never married),Estimate - de jure,"Final figure, complete",2014,342763,1
United States of America,2012,1-Jul-12,Total,Female,75 - 84,Married,Estimate - de jure,"Final figure, complete",2014,2815394,1
United States of America,2012,1-Jul-12,Total,Female,75 - 84,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,3620603,1
United States of America,2012,1-Jul-12,Total,Female,75 - 84,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,820020,1
United States of America,2012,1-Jul-12,Total,Female,75 - 84,Married but separated,Estimate - de jure,"Final figure, complete",2014,59883,1
United States of America,2012,1-Jul-12,Total,Female,85 +,Total,Estimate - de jure,"Final figure, complete",2014,3884011,1
United States of America,2012,1-Jul-12,Total,Female,85 +,Single (never married),Estimate - de jure,"Final figure, complete",2014,174189,1
United States of America,2012,1-Jul-12,Total,Female,85 +,Married,Estimate - de jure,"Final figure, complete",2014,559403,1
United States of America,2012,1-Jul-12,Total,Female,85 +,Widowed and not remarried,Estimate - de jure,"Final figure, complete",2014,2888232,1
United States of America,2012,1-Jul-12,Total,Female,85 +,Divorced and not remarried,Estimate - de jure,"Final figure, complete",2014,246551,1
United States of America,2012,1-Jul-12,Total,Female,85 +,Married but separated,Estimate - de jure,"Final figure, complete",2014,15636,1
United States of America,2009,1-Mar-09,Total,Male,Total,Total,Sample survey - de jure,"Final figure, complete",2009,148032000,2
United States of America,2009,1-Mar-09,Total,Male,Total,Single (never married),Sample survey - de jure,"Final figure, complete",2009,70419000,2
United States of America,2009,1-Mar-09,Total,Male,Total,Married,Sample survey - de jure,"Final figure, complete",2009,62609000,2
United States of America,2009,1-Mar-09,Total,Male,Total,Widowed and not remarried,Sample survey - de jure,"Final figure, complete",2009,2813000,2
United States of America,2009,1-Mar-09,Total,Male,Total,Divorced and not remarried,Sample survey - de jure,"Final figure, complete",2009,9960000,2
United States of America,2009,1-Mar-09,Total,Male,Total,Married but separated,Sample survey - de jure,"Final figure, complete",2009,2232000,2
United States of America,2009,1-Mar-09,Total,Male,0 - 14,Total,Sample survey - de jure,"Final figure, complete",2009,31366000,2
United States of America,2009,1-Mar-09,Total,Male,0 - 14,Single (never married),Sample survey - de jure,"Final figure, complete",2009,31366000,2
United States of America,2009,1-Mar-09,Total,Male,0 - 14,Married,Sample survey - de jure,"Final figure, complete",2009,0,2
United States of America,2009,1-Mar-09,Total,Male,0 - 14,Widowed and not remarried,Sample survey - de jure,"Final figure, complete",2009,0,2
United States of America,2009,1-Mar-09,Total,Male,0 - 14,Divorced and not remarried,Sample survey - de jure,"Final figure, complete",2009,0,2
United States of America,2009,1-Mar-09,Total,Male,0 - 14,Married but separated,Sample survey - de jure,"Final figure, complete",2009,0,2
United States of America,2009,1-Mar-09,Total,Male,15 - 19,Total,Sample survey - de jure,"Final figure, complete",2009,10776000,2
United States of America,2009,1-Mar-09,Total,Male,15 - 19,Single (never married),Sample survey - de jure,"Final figure, complete",2009,10614000,2
United States of America,2009,1-Mar-09,Total,Male,15 - 19,Married,Sample survey - de jure,"Final figure, complete",2009,87000,2
United States of America,2009,1-Mar-09,Total,Male,15 - 19,Widowed and not remarried,Sample survey - de jure,"Final figure, complete",2009,6000,2
United States of America,2009,1-Mar-09,Total,Male,15 - 19,Divorced and not remarried,Sample survey - de jure,"Final figure, complete",2009,14000,2
United States of America,2009,1-Mar-09,Total,Male,15 - 19,Married but separated,Sample survey - de jure,"Final figure, complete",2009,56000,2
United States of America,2009,1-Mar-09,Total,Male,20 - 24,Total,Sample survey - de jure,"Final figure, complete",2009,10414000,2
United States of America,2009,1-Mar-09,Total,Male,20 - 24,Single (never married),Sample survey - de jure,"Final figure, complete",2009,9055000,2
United States of America,2009,1-Mar-09,Total,Male,20 - 24,Married,Sample survey - de jure,"Final figure, complete",2009,1149000,2
United States of America,2009,1-Mar-09,Total,Male,20 - 24,Widowed and not remarried,Sample survey - de jure,"Final figure, complete",2009,5000,2
United States of America,2009,1-Mar-09,Total,Male,20 - 24,Divorced and not remarried,Sample survey - de jure,"Final figure, complete",2009,84000,2
United States of America,2009,1-Mar-09,Total,Male,20 - 24,Married but separated,Sample survey - de jure,"Final figure, complete",2009,120000,2
United States of America,2009,1-Mar-09,Total,Male,25 - 29,Total,Sample survey - de jure,"Final figure, complete",2009,10849000,2
United States of America,2009,1-Mar-09,Total,Male,25 - 29,Single (never married),Sample survey - de jure,"Final figure, complete",2009,6626000,2
United States of America,2009,1-Mar-09,Total,Male,25 - 29,Married,Sample survey - de jure,"Final figure, complete",2009,3703000,2
United States of America,2009,1-Mar-09,Total,Male,25 - 29,Widowed and not remarried,Sample survey - de jure,"Final figure, complete",2009,3000,2
United States of America,2009,1-Mar-09,Total,Male,25 - 29,Divorced and not remarried,Sample survey - de jure,"Final figure, complete",2009,335000,2
United States of America,2009,1-Mar-09,Total,Male,25 - 29,Married but separated,Sample survey - de jure,"Final figure, complete",2009,182000,2
United States of America,2009,1-Mar-09,Total,Male,30 - 34,Total,Sample survey - de jure,"Final figure, complete",2009,9570000,2
United States of America,2009,1-Mar-09,Total,Male,30 - 34,Single (never married),Sample survey - de jure,"Final figure, complete",2009,3345000,2
United States of America,2009,1-Mar-09,Total,Male,30 - 34,Married,Sample survey - de jure,"Final figure, complete",2009,5420000,2
United States of America,2009,1-Mar-09,Total,Male,30 - 34,Widowed and not remarried,Sample survey - de jure,"Final figure, complete",2009,3000,2
United States of America,2009,1-Mar-09,Total,Male,30 - 34,Divorced and not remarried,Sample survey - de jure,"Final figure, complete",2009,582000,2
United States of America,2009,1-Mar-09,Total,Male,30 - 34,Married but separated,Sample survey - de jure,"Final figure, complete",2009,220000,2
United States of America,2009,1-Mar-09,Total,Male,35 - 39,Total,Sample survey - de jure,"Final figure, complete",2009,10164000,2
United States of America,2009,1-Mar-09,Total,Male,35 - 39,Single (never married),Sample survey - de jure,"Final figure, complete",2009,2288000,2
United States of America,2009,1-Mar-09,Total,Male,35 - 39,Married,Sample survey - de jure,"Final figure, complete",2009,6622000,2
United States of America,2009,1-Mar-09,Total,Male,35 - 39,Widowed and not remarried,Sample survey - de jure,"Final figure, complete",2009,24000,2
United States of America,2009,1-Mar-09,Total,Male,35 - 39,Divorced and not remarried,Sample survey - de jure,"Final figure, complete",2009,935000,2
United States of America,2009,1-Mar-09,Total,Male,35 - 39,Married but separated,Sample survey - de jure,"Final figure, complete",2009,294000,2
United States of America,2009,1-Mar-09,Total,Male,40 - 44,Total,Sample survey - de jure,"Final figure, complete",2009,10314000,2
United States of America,2009,1-Mar-09,Total,Male,40 - 44,Single (never married),Sample survey - de jure,"Final figure, complete",2009,1894000,2
United States of America,2009,1-Mar-09,Total,Male,40 - 44,Married,Sample survey - de jure,"Final figure, complete",2009,6814000,2
United States of America,2009,1-Mar-09,Total,Male,40 - 44,Widowed and not remarried,Sample survey - de jure,"Final figure, complete",2009,48000,2
United States of America,2009,1-Mar-09,Total,Male,40 - 44,Divorced and not remarried,Sample survey - de jure,"Final figure, complete",2009,1280000,2
United States of America,2009,1-Mar-09,Total,Male,40 - 44,Married but separated,Sample survey - de jure,"Final figure, complete",2009,278000,2
